month,market_index,index_value,monthly_change_pct
2025-07,Professional labor,104.45,0.0053
2025-08,Professional labor,106.0,0.0148
2025-09,Professional labor,106.79,0.0075
2025-10,Professional labor,109.01,0.0208
2025-11,Professional labor,111.3,0.021
2025-12,Professional labor,111.39,0.0008
2026-01,Professional labor,110.65,-0.0067
2026-02,Professional labor,113.32,0.0242
2026-03,Professional labor,111.94,-0.0121
2026-04,Professional labor,116.39,0.0397
2026-05,Professional labor,118.46,0.0178
2026-06,Professional labor,119.27,0.0069
