month,supplier_id,category_id,otif_pct,defect_rate_pct,safety_incidents,invoice_accuracy_pct,responsiveness_score,service_level_score,sla_status
2025-10,SUP-002,CAT-001,90.6,1.67,0,95.6,86.2,90.9,Meets SLA
2025-11,SUP-002,CAT-001,96.8,1.23,1,88.9,99,92.4,Meets SLA
2025-12,SUP-002,CAT-001,88.7,1.23,0,99.8,72.6,89.2,Meets SLA
2026-01,SUP-002,CAT-001,99,0.83,0,90.1,91.5,95.1,Meets SLA
2026-02,SUP-002,CAT-001,95.3,2.81,0,97.3,95.0,92.9,Meets SLA
2026-03,SUP-002,CAT-001,91.0,1.33,0,93.0,87.0,91.2,Meets SLA
2026-04,SUP-002,CAT-001,87.1,1.16,0,96.1,95.4,92.1,Meets SLA
2026-05,SUP-002,CAT-001,91.2,2.08,0,94.2,82.1,89.6,Meets SLA
2026-06,SUP-002,CAT-001,91.6,0.97,0,91.1,95.2,93.1,Meets SLA
2025-01,SUP-003,CAT-001,78.8,2.37,0,87.2,72.8,81.8,Watch
2025-02,SUP-003,CAT-001,80.7,1.56,0,90.4,85.2,86.4,Meets SLA
2025-03,SUP-003,CAT-001,93.9,2.74,0,90.1,79.9,88.5,Meets SLA
2025-04,SUP-003,CAT-001,81.6,2.99,0,93.2,73.1,83.0,Watch
2025-05,SUP-003,CAT-001,74.3,3.41,0,91.2,68.2,78.5,Watch
2025-06,SUP-003,CAT-001,85.1,2.88,0,92.7,85.0,86.5,Meets SLA
2025-07,SUP-003,CAT-001,90.5,3.0,0,91.8,75.7,86.4,Meets SLA
2025-08,SUP-003,CAT-001,83.6,1.04,0,96.4,82.5,88.8,Meets SLA
2025-09,SUP-003,CAT-001,84.7,2.28,0,90.6,87.2,87.2,Meets SLA
2025-10,SUP-003,CAT-001,92.3,3.63,0,88.1,82.9,86.8,Meets SLA
2025-11,SUP-003,CAT-001,83.9,3.94,0,96.4,71.5,82.8,Watch
2025-12,SUP-003,CAT-001,81.4,1.0,0,92.6,73.7,85.8,Watch
2026-01,SUP-003,CAT-001,84.2,2.46,0,96.6,82.8,87.1,Meets SLA
2026-02,SUP-003,CAT-001,81.6,1.69,0,88.7,87.4,86.6,Meets SLA
2026-03,SUP-003,CAT-001,85.3,2.65,0,93.0,91.7,88.1,Meets SLA
2026-04,SUP-003,CAT-001,82.2,1.03,0,96.7,77.3,87.4,Meets SLA
2026-05,SUP-003,CAT-001,80.8,3.35,0,84.2,80.2,81.9,Watch
2026-06,SUP-003,CAT-001,78.7,2.9,0,93.8,87.0,84.7,Watch
2025-01,SUP-004,CAT-001,88.4,3.01,0,91.8,86.3,87.5,Meets SLA
2025-02,SUP-004,CAT-001,89.4,2.58,0,92.2,85.1,88.4,Meets SLA
2025-03,SUP-004,CAT-001,87.1,3.79,0,89.6,73.9,83.3,Watch
2025-04,SUP-004,CAT-001,83.9,2.07,0,91.1,71.4,84.4,Watch
2025-05,SUP-004,CAT-001,82.1,1.91,0,91.1,82.9,86.1,Meets SLA
2025-06,SUP-004,CAT-001,86.8,2.13,0,86.9,86.2,87.3,Meets SLA
2025-07,SUP-004,CAT-001,84.5,2.78,0,96.3,81.0,86.3,Meets SLA
2025-08,SUP-004,CAT-001,70.3,3.02,0,87.8,79.6,79.1,Watch
2025-09,SUP-004,CAT-001,82.6,2.27,0,89.6,77.6,84.5,Watch
2025-10,SUP-004,CAT-001,84.9,4.01,0,97.9,76.2,84.1,Watch
2025-11,SUP-004,CAT-001,79.7,1.75,0,90.2,83.8,85.5,Watch
2025-12,SUP-004,CAT-001,94.8,2.63,0,92.1,73.0,88.0,Meets SLA
2026-01,SUP-004,CAT-001,80.8,2.63,0,88.5,81.9,83.9,Watch
2026-02,SUP-004,CAT-001,97.7,4.31,0,91.2,87.0,89.0,Meets SLA
2026-03,SUP-004,CAT-001,81.9,2.97,0,89.6,76.3,83.1,Watch
2026-04,SUP-004,CAT-001,84.4,2.39,0,98.9,79.8,87.1,Meets SLA
2026-05,SUP-004,CAT-001,86.4,3.38,0,89.5,78.8,84.5,Watch
2026-06,SUP-004,CAT-001,86.6,0.54,0,95.5,94.3,92.6,Meets SLA
2025-01,SUP-005,CAT-001,86.8,2.22,0,91.1,95.5,89.6,Meets SLA
2025-02,SUP-005,CAT-001,83.9,1.98,0,93.8,80.9,86.8,Meets SLA
2025-03,SUP-005,CAT-001,94.2,2.7,0,92.7,76.2,88.4,Meets SLA
2025-04,SUP-005,CAT-001,92.9,0.14,0,99.3,89.0,95.1,Meets SLA
2025-05,SUP-005,CAT-001,97.2,1.68,0,91.1,82.1,91.7,Meets SLA
2025-06,SUP-005,CAT-001,93.9,0.28,0,99.8,77.8,93.4,Meets SLA
2025-07,SUP-005,CAT-001,85.8,1.79,0,96.5,76.5,87.4,Meets SLA
2025-08,SUP-005,CAT-001,83.5,2.36,0,91.3,89.6,87.2,Meets SLA
2025-09,SUP-005,CAT-001,87.9,0.6,0,90.8,95.7,92.4,Meets SLA
2025-10,SUP-005,CAT-001,80.7,2.64,0,86.7,88.0,84.7,Watch
2025-11,SUP-005,CAT-001,85.5,1.57,0,96.7,94.8,91.0,Meets SLA
2025-12,SUP-005,CAT-001,91.0,2.61,0,94.5,88.8,90.0,Meets SLA
2026-01,SUP-005,CAT-001,78.9,1.28,0,86.7,78.9,84.4,Watch
2026-02,SUP-005,CAT-001,87.9,2.09,0,97.4,99,92.0,Meets SLA
2026-03,SUP-005,CAT-001,88.2,2.1,0,92.2,81.9,88.1,Meets SLA
2026-04,SUP-005,CAT-001,92.6,3.18,0,93.4,79.5,87.9,Meets SLA
2026-05,SUP-005,CAT-001,90.3,1.04,0,98.9,72.5,89.9,Meets SLA
2026-06,SUP-005,CAT-001,86.6,0.69,0,93.3,88.2,90.9,Meets SLA
2025-01,SUP-006,CAT-002,95.6,1.48,1,92.4,81.9,89.1,Meets SLA
2025-02,SUP-006,CAT-002,84.5,1.86,0,90.3,77.5,85.9,Watch
2025-03,SUP-006,CAT-002,84.1,1.54,0,92.0,82.8,87.5,Meets SLA
2025-04,SUP-006,CAT-002,92.4,1.98,0,95.6,83.5,90.7,Meets SLA
2025-05,SUP-006,CAT-002,85.6,3.45,0,95.6,86.8,86.7,Meets SLA
2025-06,SUP-006,CAT-002,84.5,0.39,0,90.2,79.3,88.4,Meets SLA
2025-07,SUP-006,CAT-002,77.1,1.94,0,94.9,77.0,83.9,Watch
2025-08,SUP-006,CAT-002,94.8,2.83,0,91.4,95.7,91.8,Meets SLA
2025-09,SUP-006,CAT-002,92.0,1.92,0,89.4,76.6,88.2,Meets SLA
2025-10,SUP-006,CAT-002,83.9,1.79,0,87.4,89.9,87.5,Meets SLA
2025-11,SUP-006,CAT-002,84.4,2.42,0,99.8,76.7,86.7,Meets SLA
2025-12,SUP-006,CAT-002,89.0,2.03,0,86.7,84.5,87.9,Meets SLA
2026-01,SUP-006,CAT-002,85.4,1.34,0,91.7,99,91.1,Meets SLA
2026-02,SUP-006,CAT-002,81.6,1.5,0,95.9,83.0,87.4,Meets SLA
2026-03,SUP-006,CAT-002,86.7,1.01,0,95.9,82.9,90.0,Meets SLA
2026-04,SUP-006,CAT-002,87.3,1.01,0,93.3,82.1,89.5,Meets SLA
2026-05,SUP-006,CAT-002,76.9,1.35,0,94.2,85.5,86.1,Meets SLA
2026-06,SUP-006,CAT-002,84.7,0.92,0,89.1,84.4,88.4,Meets SLA
2025-01,SUP-007,CAT-002,95.9,2.79,0,90.2,91.2,91.1,Meets SLA
2025-02,SUP-007,CAT-002,84.8,1.95,0,94.8,89.4,88.9,Meets SLA
2025-03,SUP-007,CAT-002,90.0,0.43,0,97.2,91.3,93.7,Meets SLA
2025-04,SUP-007,CAT-002,86.9,1.8,0,94.8,81.6,88.4,Meets SLA
2025-05,SUP-007,CAT-002,82.2,1.72,0,87.8,89.0,86.9,Meets SLA
2025-06,SUP-007,CAT-002,91.0,0.75,0,98.5,93.4,94.2,Meets SLA
2025-07,SUP-007,CAT-002,83.8,0.59,0,92.0,82.4,88.7,Meets SLA
2025-08,SUP-007,CAT-002,80.1,2.5,0,99.8,92.3,87.8,Meets SLA
2025-09,SUP-007,CAT-002,94.8,1.57,0,99.4,81.5,92.4,Meets SLA
2025-10,SUP-007,CAT-002,87.1,2.46,0,99.8,83.0,88.7,Meets SLA
2025-11,SUP-007,CAT-002,89.2,2.33,0,94.3,86.5,89.3,Meets SLA
2025-12,SUP-007,CAT-002,95.8,1.2,0,96.3,90.1,94.3,Meets SLA
2026-01,SUP-007,CAT-002,90.5,2.11,0,98.1,81.3,89.8,Meets SLA
2026-02,SUP-007,CAT-002,88.2,1.68,0,98.0,92.6,91.6,Meets SLA
2026-03,SUP-007,CAT-002,87.4,1.27,0,96.8,75.7,88.7,Meets SLA
2026-04,SUP-007,CAT-002,85.0,1.93,0,88.9,82.9,86.7,Meets SLA
2026-05,SUP-007,CAT-002,93.2,0.71,0,93.5,89.7,93.5,Meets SLA
2026-06,SUP-007,CAT-002,89.5,0.41,0,91.4,82.2,90.9,Meets SLA
2025-01,SUP-008,CAT-002,84.5,2.95,0,88.7,86.9,85.8,Watch
2025-02,SUP-008,CAT-002,82.9,1.02,0,89.6,81.7,87.2,Meets SLA
2025-03,SUP-008,CAT-002,81.2,3.06,1,86.7,75.3,79.5,Watch
2025-04,SUP-008,CAT-002,94.1,2.74,0,90.0,81.1,88.7,Meets SLA
2025-05,SUP-008,CAT-002,90.3,2.12,0,84.0,93.2,89.4,Meets SLA
2025-06,SUP-008,CAT-002,79.2,1.77,0,90.4,80.5,84.7,Watch
2025-07,SUP-008,CAT-002,93.6,3.56,0,88.9,77.3,86.5,Meets SLA
2025-08,SUP-008,CAT-002,91.8,3.82,0,90.7,70.8,84.6,Watch
2025-09,SUP-008,CAT-002,83.9,2.55,0,91.7,77.0,84.9,Watch
2025-10,SUP-008,CAT-002,78.3,2.91,0,97.6,82.7,84.4,Watch
2025-11,SUP-008,CAT-002,77.8,1.54,0,90.4,67.6,82.2,Watch
2025-12,SUP-008,CAT-002,87.0,1.84,0,96.8,71.0,86.9,Meets SLA
2026-01,SUP-008,CAT-002,94.4,4.19,1,95.2,88.2,86.5,Meets SLA
2026-02,SUP-008,CAT-002,85.7,2.36,0,90.4,72.2,84.7,Watch
2026-03,SUP-008,CAT-002,86.5,4.6,0,90.6,81.2,83.4,Watch
2026-04,SUP-008,CAT-002,87.2,1.85,0,94.3,82.9,88.6,Meets SLA
2026-05,SUP-008,CAT-002,71.8,4.05,0,91.8,79.3,78.8,Watch
2026-06,SUP-008,CAT-002,85.6,2.67,0,88.7,81.8,85.7,Watch
2025-01,SUP-009,CAT-002,84.0,2.3,0,88.0,73.9,84.0,Watch
2025-02,SUP-009,CAT-002,96.7,3.24,0,99.8,96.7,93.5,Meets SLA
2025-03,SUP-009,CAT-002,99,1.94,0,91.4,81.0,91.9,Meets SLA
2025-04,SUP-009,CAT-002,84.2,3.77,0,93.8,99,87.6,Meets SLA
2025-05,SUP-009,CAT-002,87.0,1.45,0,95.5,82.2,89.2,Meets SLA
2025-06,SUP-009,CAT-002,82.7,1.33,0,95.4,85.9,88.5,Meets SLA
2025-07,SUP-009,CAT-002,93.5,0.73,0,94.8,71.8,90.6,Meets SLA
2025-08,SUP-009,CAT-002,87.7,3.23,0,94.7,86.6,87.5,Meets SLA
2025-09,SUP-009,CAT-002,84.8,0.88,0,97.9,80.9,89.5,Meets SLA
2025-10,SUP-009,CAT-002,90.6,3.37,0,91.9,82.0,87.1,Meets SLA
2025-11,SUP-009,CAT-002,87.7,1.74,0,94.4,91.5,90.5,Meets SLA
2025-12,SUP-009,CAT-002,86.6,1.28,0,93.0,88.2,89.9,Meets SLA
2026-01,SUP-009,CAT-002,85.8,2.08,0,93.7,90.3,89.0,Meets SLA
2026-02,SUP-009,CAT-002,89.1,2.58,0,92.2,72.0,85.9,Watch
2026-03,SUP-009,CAT-002,88.2,2.49,0,90.3,74.0,85.7,Watch
2026-04,SUP-009,CAT-002,84.0,0.91,0,97.9,85.2,89.9,Meets SLA
2026-05,SUP-009,CAT-002,86.5,1.75,0,94.4,86.0,89.1,Meets SLA
2026-06,SUP-009,CAT-002,99,3.61,0,88.8,77.6,88.4,Meets SLA
2025-01,SUP-010,CAT-003,98.0,1.83,0,99.8,89.3,94.7,Meets SLA
2025-02,SUP-010,CAT-003,84.4,0.94,0,96.2,81.2,89.0,Meets SLA
2025-03,SUP-010,CAT-003,96.4,0.36,0,90.7,81.0,93.1,Meets SLA
2025-04,SUP-010,CAT-003,87.1,0.1,0,89.5,80.6,89.8,Meets SLA
2025-05,SUP-010,CAT-003,90.6,0.83,0,94.9,82.6,91.3,Meets SLA
2025-06,SUP-010,CAT-003,85.4,4.65,0,99.4,73.3,83.1,Watch
2025-07,SUP-010,CAT-003,90.2,3.52,0,97.4,89.5,89.0,Meets SLA
2025-08,SUP-010,CAT-003,89.8,2.02,0,99.8,87.3,91.1,Meets SLA
2025-09,SUP-010,CAT-003,92.0,1.47,0,95.6,88.2,92.1,Meets SLA
2025-10,SUP-010,CAT-003,94.9,2.42,0,91.9,85.7,90.6,Meets SLA
2025-11,SUP-010,CAT-003,99,2.61,0,93.3,88.9,92.7,Meets SLA
2025-12,SUP-010,CAT-003,90.0,3.29,0,97.0,99,90.9,Meets SLA
2026-01,SUP-010,CAT-003,99,2.14,0,92.9,98.7,95.0,Meets SLA
2026-02,SUP-010,CAT-003,90.0,1.51,0,94.3,89.9,91.4,Meets SLA
2026-03,SUP-010,CAT-003,84.1,1.5,0,96.4,86.6,89.1,Meets SLA
2026-04,SUP-010,CAT-003,91.8,2.57,0,90.5,90.8,90.0,Meets SLA
2026-05,SUP-010,CAT-003,80.0,2.8,0,93.7,89.3,85.7,Watch
2026-06,SUP-010,CAT-003,95.3,1.63,0,94.2,91.3,93.3,Meets SLA
2025-01,SUP-011,CAT-003,91.2,1.43,0,94.3,98.0,93.4,Meets SLA
2025-02,SUP-011,CAT-003,94.6,2.0,0,99.5,78.0,91.1,Meets SLA
2025-03,SUP-011,CAT-003,81.7,1.31,0,95.0,90.7,88.9,Meets SLA
2025-04,SUP-011,CAT-003,91.5,1.87,0,93.4,93.0,91.8,Meets SLA
2025-05,SUP-011,CAT-003,93.9,1.14,0,95.9,92.4,94.1,Meets SLA
2025-06,SUP-011,CAT-003,94.9,1.08,0,89.3,89.2,92.7,Meets SLA
2025-07,SUP-011,CAT-003,85.9,2.97,0,97.6,92.3,88.9,Meets SLA
2025-08,SUP-011,CAT-003,92.6,1.43,0,87.2,79.7,89.3,Meets SLA
2025-09,SUP-011,CAT-003,88.9,1.49,0,93.8,92.0,91.3,Meets SLA
2025-10,SUP-011,CAT-003,84.3,2.8,0,87.7,78.2,84.2,Watch
2025-11,SUP-011,CAT-003,90.6,1.81,0,95.7,77.1,89.1,Meets SLA
2025-12,SUP-011,CAT-003,93.2,1.77,0,93.3,86.4,91.3,Meets SLA
2026-01,SUP-011,CAT-003,82.5,1.17,0,94.3,93.0,89.7,Meets SLA
2026-02,SUP-011,CAT-003,95.9,1.63,0,98.4,95.9,95.1,Meets SLA
2026-03,SUP-011,CAT-003,96.5,1.87,0,96.7,86.2,93.0,Meets SLA
2026-04,SUP-011,CAT-003,91.0,3.83,0,90.5,87.5,87.3,Meets SLA
2026-05,SUP-011,CAT-003,95.1,0.99,0,91.8,82.1,92.1,Meets SLA
2026-06,SUP-011,CAT-003,89.3,0.1,0,99.8,89.7,94.1,Meets SLA
2025-01,SUP-012,CAT-003,88.4,2.16,0,88.7,82.0,87.4,Meets SLA
2025-02,SUP-012,CAT-003,84.3,3.25,0,91.5,95.1,87.3,Meets SLA
2025-03,SUP-012,CAT-003,89.9,3.63,0,90.6,91.5,87.9,Meets SLA
2025-04,SUP-012,CAT-003,86.1,2.09,0,93.9,79.4,87.2,Meets SLA
2025-05,SUP-012,CAT-003,73.0,3.63,0,95.0,86.1,81.6,Watch
2025-06,SUP-012,CAT-003,92.1,2.1,0,95.0,81.9,89.9,Meets SLA
2025-07,SUP-012,CAT-003,91.4,2.31,0,89.4,84.3,88.8,Meets SLA
2025-08,SUP-012,CAT-003,81.0,2.98,0,92.7,80.1,84.0,Watch
2025-09,SUP-012,CAT-003,93.5,2.71,0,94.4,86.7,90.3,Meets SLA
2025-10,SUP-012,CAT-003,77.8,3.82,0,88.4,77.3,80.3,Watch
2025-11,SUP-012,CAT-003,92.5,2.76,0,94.6,77.9,88.4,Meets SLA
2025-12,SUP-012,CAT-003,83.4,2.12,0,87.4,89.1,86.7,Meets SLA
2026-01,SUP-012,CAT-003,82.0,0.93,0,89.5,70.0,84.9,Watch
2026-02,SUP-012,CAT-003,85.3,2.58,0,92.7,74.1,85.0,Watch
2026-03,SUP-012,CAT-003,82.2,2.11,0,91.0,70.5,83.6,Watch
2026-04,SUP-012,CAT-003,87.1,2.44,0,96.0,79.1,87.4,Meets SLA
2026-05,SUP-012,CAT-003,85.3,1.66,0,90.0,81.7,87.2,Meets SLA
2026-06,SUP-012,CAT-003,82.6,3.05,0,97.8,78.2,85.0,Watch
2025-01,SUP-013,CAT-003,89.6,1.37,1,93.3,77.2,86.5,Meets SLA
2025-02,SUP-013,CAT-003,93.0,1.74,0,93.5,87.9,91.6,Meets SLA
2025-03,SUP-013,CAT-003,90.7,4.16,0,96.6,85.5,87.4,Meets SLA
2025-04,SUP-013,CAT-003,82.7,1.1,0,95.2,73.7,86.6,Meets SLA
2025-05,SUP-013,CAT-003,82.4,1.95,0,91.6,92.8,88.0,Meets SLA
2025-06,SUP-013,CAT-003,89.6,1.88,0,93.6,85.1,89.7,Meets SLA
2025-07,SUP-013,CAT-003,89.9,2.15,0,96.1,86.3,90.1,Meets SLA
2025-08,SUP-013,CAT-003,83.3,1.35,0,95.9,79.2,87.6,Meets SLA
2025-09,SUP-013,CAT-003,85.1,2.07,0,93.3,89.1,88.5,Meets SLA
2025-10,SUP-013,CAT-003,86.8,2.83,0,93.6,73.9,85.3,Watch
2025-11,SUP-013,CAT-003,85.0,0.6,0,92.6,86.8,90.0,Meets SLA
2025-12,SUP-013,CAT-003,84.3,1.76,0,92.0,80.0,86.8,Meets SLA
2026-01,SUP-013,CAT-003,90.6,4.42,0,98.2,89.0,87.9,Meets SLA
2026-02,SUP-013,CAT-003,94.0,2.73,0,87.1,76.2,87.3,Meets SLA
2026-03,SUP-013,CAT-003,92.3,2.51,0,91.1,83.3,89.0,Meets SLA
2026-04,SUP-013,CAT-003,90.3,2.36,0,91.7,99,91.5,Meets SLA
2026-05,SUP-013,CAT-003,86.2,3.39,0,92.2,90.0,87.0,Meets SLA
2026-06,SUP-013,CAT-003,86.6,1.1,0,91.9,80.9,88.7,Meets SLA
2025-01,SUP-014,CAT-003,86.5,0.98,0,93.6,88.3,90.5,Meets SLA
2025-02,SUP-014,CAT-003,89.3,1.2,0,91.2,88.6,90.8,Meets SLA
2025-03,SUP-014,CAT-003,97.3,1.4,0,89.5,79.7,91.5,Meets SLA
2025-04,SUP-014,CAT-003,87.6,0.48,0,91.5,83.0,90.2,Meets SLA
2025-05,SUP-014,CAT-003,82.4,2.12,0,99.3,87.1,88.2,Meets SLA
2025-06,SUP-014,CAT-003,84.0,2.12,0,97.3,88.3,88.6,Meets SLA
2025-07,SUP-014,CAT-003,90.6,1.33,0,99.8,89.4,92.8,Meets SLA
2025-08,SUP-014,CAT-003,99,2.1,0,94.4,95.6,94.8,Meets SLA
2025-09,SUP-014,CAT-003,81.0,1.02,0,94.1,96.2,90.0,Meets SLA
2025-10,SUP-014,CAT-003,96.5,0.35,1,87.2,99,93.3,Meets SLA
2025-11,SUP-014,CAT-003,96.7,2.21,0,95.6,84.5,92.0,Meets SLA
2025-12,SUP-014,CAT-003,82.5,1.14,0,99.8,85.3,89.4,Meets SLA
2026-01,SUP-014,CAT-003,87.1,2.0,0,98.5,79.2,88.5,Meets SLA
2026-02,SUP-014,CAT-003,86.2,0.29,0,98.7,84.9,91.7,Meets SLA
2026-03,SUP-014,CAT-003,88.7,1.05,0,96.0,85.9,91.2,Meets SLA
2026-04,SUP-014,CAT-003,76.3,2.27,0,92.0,87.4,84.5,Watch
2026-05,SUP-014,CAT-003,99,2.55,0,96.4,77.2,91.2,Meets SLA
2026-06,SUP-014,CAT-003,88.2,0.76,0,96.1,80.5,90.4,Meets SLA
2025-01,SUP-015,CAT-003,91.2,1.76,0,92.6,83.3,90.0,Meets SLA
2025-02,SUP-015,CAT-003,94.9,2.96,0,91.2,87.3,90.0,Meets SLA
2025-03,SUP-015,CAT-003,83.3,2.25,0,95.0,84.9,87.1,Meets SLA
2025-04,SUP-015,CAT-003,76.2,2.91,0,93.4,65.8,79.9,Watch
2025-05,SUP-015,CAT-003,96.6,2.41,0,90.4,86.2,91.1,Meets SLA
2025-06,SUP-015,CAT-003,86.7,2.46,0,95.7,74.1,86.2,Meets SLA
2025-07,SUP-015,CAT-003,87.6,0.82,0,86.3,85.3,89.2,Meets SLA
2025-08,SUP-015,CAT-003,93.9,1.95,0,84.1,91.4,90.6,Meets SLA
2025-09,SUP-015,CAT-003,93.6,2.49,0,91.4,86.6,90.2,Meets SLA
2025-10,SUP-015,CAT-003,81.4,2.05,0,88.4,77.2,84.1,Watch
2025-11,SUP-015,CAT-003,84.0,3.78,0,91.2,78.0,83.3,Watch
2025-12,SUP-015,CAT-003,81.5,2.62,0,92.1,83.3,85.1,Watch
2026-01,SUP-015,CAT-003,84.0,4.02,0,88.6,93.9,85.3,Watch
2026-02,SUP-015,CAT-003,87.6,3.03,0,97.3,80.2,87.1,Meets SLA
2026-03,SUP-015,CAT-003,79.2,1.35,0,91.5,74.6,84.5,Watch
2026-04,SUP-015,CAT-003,89.0,2.21,0,90.2,84.8,88.4,Meets SLA
2026-05,SUP-015,CAT-003,79.8,2.81,0,94.9,92.0,86.3,Meets SLA
2026-06,SUP-015,CAT-003,88.7,0.54,0,91.3,93.6,92.4,Meets SLA
2025-01,SUP-016,CAT-004,84.4,2.25,0,97.1,91.9,89.2,Meets SLA
2025-02,SUP-016,CAT-004,94.5,1.77,0,99.8,85.8,92.9,Meets SLA
2025-03,SUP-016,CAT-004,86.6,2.9,0,91.7,80.9,86.1,Meets SLA
2025-04,SUP-016,CAT-004,92.1,1.52,0,95.6,81.1,90.8,Meets SLA
2025-05,SUP-016,CAT-004,89.1,0.41,0,98.4,95.8,94.4,Meets SLA
2025-06,SUP-016,CAT-004,86.7,2.32,0,97.7,83.8,88.6,Meets SLA
2025-07,SUP-016,CAT-004,83.0,2.58,0,91.3,88.0,86.4,Meets SLA
2025-08,SUP-016,CAT-004,99,2.28,0,99.8,97.5,95.9,Meets SLA
2025-09,SUP-016,CAT-004,84.8,1.8,0,88.1,84.6,87.0,Meets SLA
2025-10,SUP-016,CAT-004,92.5,2.14,0,94.9,80.2,89.7,Meets SLA
2025-11,SUP-016,CAT-004,83.7,2.1,0,94.2,73.5,85.3,Watch
2025-12,SUP-016,CAT-004,89.6,2.43,0,92.2,83.4,88.4,Meets SLA
2026-01,SUP-016,CAT-004,84.7,2.03,0,98.8,85.9,88.8,Meets SLA
2026-02,SUP-016,CAT-004,97.0,0.87,0,91.7,91.0,94.5,Meets SLA
2026-03,SUP-016,CAT-004,83.8,2.65,0,97.0,85.8,87.3,Meets SLA
2026-04,SUP-016,CAT-004,90.6,0.1,0,91.5,85.8,92.4,Meets SLA
2026-05,SUP-016,CAT-004,91.5,2.5,0,92.2,85.8,89.4,Meets SLA
2026-06,SUP-016,CAT-004,91.1,0.1,0,96.7,87.3,93.8,Meets SLA
2025-01,SUP-017,CAT-004,89.3,1.87,0,93.4,87.1,90.0,Meets SLA
2025-02,SUP-017,CAT-004,82.8,2.4,0,96.0,75.0,85.1,Watch
2025-03,SUP-017,CAT-004,83.1,2.1,0,94.8,92.5,88.6,Meets SLA
2025-04,SUP-017,CAT-004,87.9,2.15,0,90.2,86.3,88.3,Meets SLA
2025-05,SUP-017,CAT-004,98.0,1.13,0,93.2,83.9,93.6,Meets SLA
2025-06,SUP-017,CAT-004,86.0,1.72,0,93.3,88.4,89.2,Meets SLA
2025-07,SUP-017,CAT-004,84.8,2.89,0,93.0,85.8,86.5,Meets SLA
2025-08,SUP-017,CAT-004,91.5,2.15,0,97.8,89.1,91.5,Meets SLA
2025-09,SUP-017,CAT-004,84.5,1.99,0,91.8,84.8,87.3,Meets SLA
2025-10,SUP-017,CAT-004,84.1,2.34,0,96.2,80.1,86.6,Meets SLA
2025-11,SUP-017,CAT-004,96.8,2.18,0,92.9,80.4,90.9,Meets SLA
2025-12,SUP-017,CAT-004,89.4,0.84,0,98.8,79.1,91.0,Meets SLA
2026-01,SUP-017,CAT-004,92.5,1.03,0,93.6,86.9,92.3,Meets SLA
2026-02,SUP-017,CAT-004,92.4,1.91,0,97.3,88.6,92.0,Meets SLA
2026-03,SUP-017,CAT-004,83.4,3.41,0,95.1,80.3,84.7,Watch
2026-04,SUP-017,CAT-004,97.3,3.12,0,99.1,83.1,91.3,Meets SLA
2026-05,SUP-017,CAT-004,94.9,2.6,0,94.9,89.2,91.5,Meets SLA
2026-06,SUP-017,CAT-004,86.0,1.05,0,94.8,88.3,90.4,Meets SLA
