invoice_id,month,category_id,supplier_id,business_unit,region,contract_status,spend_amount,volume,unit_price,price_variance_pct,payment_terms_days,critical_purchase
INV-10028,2025-01,CAT-001,SUP-001,Finance,Midwest,On contract,122853.76,24,5118.91,0.0387,30,Yes
INV-10029,2025-01,CAT-001,SUP-002,Mechanical,Systemwide,Off contract,89791.03,28,3206.82,0.0973,60,Yes
INV-10030,2025-01,CAT-001,SUP-004,Engineering,Gulf,On contract,138643.2,23,6027.97,0.1014,60,Yes
INV-10031,2025-01,CAT-001,SUP-003,Network operations,Midwest,On contract,144693.42,64,2260.83,0.0949,60,No
INV-10032,2025-01,CAT-001,SUP-003,Network operations,Mid-Atlantic,Expired agreement,148210.97,65,2280.17,0.0838,45,No
INV-10033,2025-01,CAT-001,SUP-001,Mechanical,Mid-Atlantic,On contract,127784.24,19,6725.49,0.079,45,Yes
INV-10034,2025-01,CAT-001,SUP-003,Mechanical,Systemwide,On contract,211175.51,12,17597.96,0.0545,45,Yes
INV-10035,2025-01,CAT-001,SUP-002,Engineering,Mid-Atlantic,On contract,237682.03,41,5797.12,0.0813,60,No
INV-10036,2025-01,CAT-001,SUP-001,Network operations,Southeast,On contract,386176.76,26,14852.95,0.1512,75,Yes
INV-10037,2025-01,CAT-001,SUP-002,Transportation,Mid-Atlantic,On contract,189480.04,26,7287.69,0.0639,60,Yes
INV-10038,2025-01,CAT-001,SUP-002,Facilities,Southeast,On contract,75963.04,7,10851.86,0.0829,75,Yes
INV-10039,2025-01,CAT-001,SUP-001,Finance,Southeast,On contract,303153.35,22,13779.7,0.0619,30,No
INV-10040,2025-01,CAT-001,SUP-001,Transportation,Southeast,On contract,160025.71,114,1403.73,0.0771,45,Yes
INV-10041,2025-01,CAT-001,SUP-004,Facilities,Southeast,On contract,177150.38,50,3543.01,0.0807,45,Yes
INV-10042,2025-01,CAT-001,SUP-003,Intermodal,Southeast,On contract,110483.05,34,3249.5,0.0847,30,Yes
INV-10043,2025-01,CAT-001,SUP-002,Intermodal,Systemwide,On contract,220940.25,42,5260.48,0.0769,45,Yes
INV-10044,2025-01,CAT-001,SUP-001,Intermodal,Systemwide,On contract,151861.67,16,9491.35,0.0473,75,Yes
INV-10045,2025-01,CAT-001,SUP-003,Information technology,Mid-Atlantic,Expired agreement,51628.15,93,555.14,0.1812,60,No
INV-10046,2025-01,CAT-001,SUP-003,Mechanical,Southeast,On contract,334225.79,55,6076.83,0.0436,60,Yes
INV-10047,2025-01,CAT-001,SUP-002,Transportation,Gulf,On contract,251384.27,54,4655.26,0.0384,30,No
INV-10048,2025-01,CAT-001,SUP-002,Transportation,Mid-Atlantic,On contract,240136.71,87,2760.19,0.1141,45,Yes
INV-10049,2025-01,CAT-001,SUP-001,Information technology,Systemwide,On contract,234900.15,110,2135.46,0.0577,45,Yes
INV-10050,2025-01,CAT-001,SUP-001,Mechanical,Gulf,On contract,342519.63,38,9013.67,0.0876,60,Yes
INV-10051,2025-01,CAT-001,SUP-001,Mechanical,Systemwide,On contract,335951.23,91,3691.77,0.0635,45,Yes
INV-10052,2025-01,CAT-001,SUP-004,Engineering,Southeast,On contract,317265.87,14,22661.85,0.0405,45,Yes
INV-10053,2025-01,CAT-001,SUP-004,Engineering,Mid-Atlantic,Expired agreement,63835.93,16,3989.75,0.2307,30,Yes
INV-10054,2025-01,CAT-001,SUP-001,Information technology,Midwest,On contract,73844.73,62,1191.04,-0.0339,60,Yes
INV-10055,2025-01,CAT-001,SUP-001,Transportation,Midwest,On contract,299465.42,29,10326.39,0.0729,75,Yes
INV-10056,2025-01,CAT-001,SUP-005,Intermodal,Mid-Atlantic,On contract,245148.5,19,12902.55,0.0992,75,No
INV-10057,2025-01,CAT-001,SUP-004,Information technology,Systemwide,On contract,430367.02,91,4729.31,0.1041,30,No
INV-10058,2025-01,CAT-001,SUP-004,Mechanical,Gulf,On contract,151328.96,87,1739.41,0.0874,60,Yes
INV-10059,2025-01,CAT-001,SUP-002,Finance,Gulf,Off contract,387514.66,55,7045.72,0.1135,60,Yes
INV-10060,2025-01,CAT-001,SUP-002,Mechanical,Systemwide,On contract,98951.48,69,1434.08,0.0834,60,No
INV-10061,2025-01,CAT-001,SUP-002,Finance,Southeast,Catalog mismatch,170586.1,43,3967.12,0.1616,75,No
INV-10062,2025-01,CAT-001,SUP-001,Information technology,Gulf,On contract,173468.95,28,6195.32,0.04,60,No
INV-10063,2025-01,CAT-001,SUP-002,Mechanical,Mid-Atlantic,On contract,240342.28,61,3940.04,0.0285,45,No
INV-10064,2025-01,CAT-001,SUP-003,Transportation,Gulf,On contract,199730.19,29,6887.25,0.0643,45,Yes
INV-10065,2025-01,CAT-001,SUP-003,Facilities,Gulf,On contract,486421.28,64,7600.33,0.0488,60,No
INV-10066,2025-01,CAT-001,SUP-001,Mechanical,Gulf,On contract,257448.45,52,4950.93,0.0419,60,No
INV-10067,2025-01,CAT-001,SUP-001,Information technology,Mid-Atlantic,Off contract,244983.5,44,5567.81,0.1726,30,Yes
INV-10068,2025-01,CAT-001,SUP-001,Facilities,Gulf,On contract,263110.91,32,8222.22,0.0326,75,Yes
INV-10069,2025-01,CAT-001,SUP-001,Mechanical,Midwest,On contract,230853.51,29,7960.47,0.1074,30,Yes
INV-10070,2025-01,CAT-001,SUP-002,Facilities,Southeast,On contract,118365.09,49,2415.61,0.036,45,Yes
INV-10071,2025-01,CAT-001,SUP-003,Mechanical,Systemwide,Expired agreement,185078.91,11,16825.36,0.1342,45,No
INV-10072,2025-01,CAT-001,SUP-002,Intermodal,Gulf,On contract,87451.82,65,1345.41,0.1114,75,Yes
INV-10073,2025-01,CAT-001,SUP-003,Engineering,Midwest,On contract,88383.48,48,1841.32,0.0664,75,No
INV-10074,2025-01,CAT-001,SUP-001,Information technology,Mid-Atlantic,On contract,291166.64,9,32351.85,0.1239,45,Yes
INV-10075,2025-02,CAT-001,SUP-002,Network operations,Systemwide,Catalog mismatch,53459.69,11,4859.97,0.0885,45,Yes
INV-10076,2025-02,CAT-001,SUP-001,Network operations,Mid-Atlantic,On contract,55715.28,53,1051.23,0.0755,75,Yes
INV-10077,2025-02,CAT-001,SUP-002,Engineering,Gulf,On contract,147586.85,49,3011.98,0.078,75,Yes
INV-10078,2025-02,CAT-001,SUP-003,Transportation,Mid-Atlantic,On contract,199538.02,151,1321.44,0.0491,45,No
INV-10079,2025-02,CAT-001,SUP-001,Information technology,Southeast,Off contract,367072.64,83,4422.56,0.1395,75,Yes
INV-10080,2025-02,CAT-001,SUP-001,Mechanical,Midwest,On contract,77390.68,49,1579.4,0.0484,75,No
INV-10081,2025-02,CAT-001,SUP-003,Engineering,Systemwide,Expired agreement,285722.27,22,12987.38,0.0429,75,Yes
INV-10082,2025-02,CAT-001,SUP-001,Finance,Midwest,On contract,81181.76,13,6244.75,0.1115,30,No
INV-10083,2025-02,CAT-001,SUP-001,Network operations,Midwest,On contract,162838.92,14,11631.35,0.0685,60,Yes
INV-10084,2025-02,CAT-001,SUP-003,Facilities,Systemwide,On contract,140411.96,89,1577.66,0.0464,30,Yes
INV-10085,2025-02,CAT-001,SUP-002,Network operations,Systemwide,Off contract,167975.01,32,5249.22,0.1468,30,Yes
INV-10086,2025-02,CAT-001,SUP-001,Mechanical,Mid-Atlantic,Off contract,333795.14,29,11510.18,0.0578,45,Yes
INV-10087,2025-02,CAT-001,SUP-001,Information technology,Mid-Atlantic,On contract,234249.98,37,6331.08,0.0824,75,Yes
INV-10088,2025-02,CAT-001,SUP-001,Network operations,Midwest,On contract,141707.01,31,4571.19,-0.0054,60,Yes
INV-10089,2025-02,CAT-001,SUP-003,Information technology,Mid-Atlantic,On contract,135046.74,71,1902.07,0.0773,60,Yes
INV-10090,2025-02,CAT-001,SUP-002,Mechanical,Midwest,Catalog mismatch,231433.98,24,9643.08,0.0871,30,Yes
INV-10091,2025-02,CAT-001,SUP-005,Network operations,Systemwide,On contract,185765.39,27,6880.2,0.1501,45,No
INV-10092,2025-02,CAT-001,SUP-004,Network operations,Systemwide,On contract,557774.85,13,42905.76,0.154,75,Yes
INV-10093,2025-02,CAT-001,SUP-002,Mechanical,Southeast,On contract,84638.93,35,2418.26,0.0949,45,Yes
INV-10094,2025-02,CAT-001,SUP-002,Finance,Mid-Atlantic,On contract,335816.15,18,18656.45,0.0387,45,No
INV-10095,2025-02,CAT-001,SUP-004,Facilities,Southeast,On contract,89711.37,33,2718.53,0.0801,30,No
INV-10096,2025-02,CAT-001,SUP-002,Facilities,Midwest,On contract,184035.57,61,3016.98,0.0603,60,No
INV-10097,2025-02,CAT-001,SUP-002,Engineering,Mid-Atlantic,On contract,303118.06,42,7217.1,0.0673,45,Yes
INV-10098,2025-02,CAT-001,SUP-003,Transportation,Southeast,On contract,126630.03,8,15828.75,0.0986,30,Yes
INV-10099,2025-02,CAT-001,SUP-001,Engineering,Southeast,On contract,53048.05,24,2210.34,0.0047,75,Yes
INV-10100,2025-02,CAT-001,SUP-001,Finance,Gulf,On contract,338623.78,74,4576.0,0.0153,60,Yes
INV-10101,2025-02,CAT-001,SUP-003,Engineering,Systemwide,On contract,295898.32,48,6164.55,0.0387,30,Yes
INV-10102,2025-02,CAT-001,SUP-002,Mechanical,Southeast,On contract,219540.26,53,4142.27,0.0108,45,Yes
INV-10103,2025-02,CAT-001,SUP-004,Finance,Gulf,On contract,442138.68,66,6699.07,0.0901,75,Yes
INV-10104,2025-02,CAT-001,SUP-001,Transportation,Mid-Atlantic,On contract,154521.21,87,1776.11,0.036,30,No
INV-10105,2025-02,CAT-001,SUP-002,Facilities,Mid-Atlantic,On contract,141675.33,80,1770.94,0.1317,75,Yes
INV-10106,2025-02,CAT-001,SUP-001,Finance,Midwest,On contract,166569.4,56,2974.45,0.0417,60,No
INV-10107,2025-02,CAT-001,SUP-005,Facilities,Systemwide,Expired agreement,523421.18,103,5081.76,0.2399,75,Yes
INV-10108,2025-02,CAT-001,SUP-003,Transportation,Gulf,On contract,485254.58,25,19410.18,0.0694,60,Yes
INV-10109,2025-02,CAT-001,SUP-002,Network operations,Midwest,On contract,98227.24,36,2728.53,0.0363,30,Yes
INV-10110,2025-02,CAT-001,SUP-003,Information technology,Gulf,On contract,106903.63,37,2889.29,0.0417,45,Yes
INV-10111,2025-02,CAT-001,SUP-003,Information technology,Midwest,On contract,166802.32,34,4905.95,0.0971,45,Yes
INV-10112,2025-02,CAT-001,SUP-004,Network operations,Midwest,Off contract,329612.8,88,3745.6,0.1264,30,Yes
INV-10113,2025-02,CAT-001,SUP-001,Finance,Midwest,On contract,194942.43,21,9282.97,0.0995,30,Yes
INV-10114,2025-02,CAT-001,SUP-002,Facilities,Midwest,On contract,117938.2,29,4066.83,0.121,45,Yes
INV-10115,2025-02,CAT-001,SUP-001,Intermodal,Systemwide,On contract,191384.1,14,13670.29,0.0768,60,Yes
INV-10116,2025-02,CAT-001,SUP-001,Finance,Systemwide,On contract,162578.92,25,6503.16,0.0611,30,No
INV-10117,2025-02,CAT-001,SUP-005,Engineering,Systemwide,Off contract,356996.07,35,10199.89,0.1867,75,Yes
INV-10118,2025-02,CAT-001,SUP-001,Transportation,Systemwide,Expired agreement,610824.11,26,23493.24,0.1266,45,Yes
INV-10119,2025-02,CAT-001,SUP-003,Information technology,Gulf,On contract,52718.64,55,958.52,0.0569,75,Yes
INV-10120,2025-02,CAT-001,SUP-002,Finance,Systemwide,On contract,324095.87,15,21606.39,0.0798,60,Yes
INV-10121,2025-02,CAT-001,SUP-004,Engineering,Mid-Atlantic,On contract,251032.64,106,2368.23,0.0403,60,Yes
INV-10122,2025-02,CAT-001,SUP-001,Mechanical,Systemwide,On contract,328871.04,28,11745.39,0.0434,75,Yes
INV-10123,2025-02,CAT-001,SUP-002,Intermodal,Midwest,On contract,84392.03,53,1592.3,0.0867,30,No
INV-10124,2025-02,CAT-001,SUP-002,Network operations,Systemwide,On contract,96678.82,28,3452.81,0.0344,30,Yes
INV-10125,2025-02,CAT-001,SUP-001,Information technology,Gulf,On contract,157818.61,66,2391.19,0.1181,45,No
INV-10126,2025-02,CAT-001,SUP-005,Facilities,Systemwide,On contract,356039.16,39,9129.21,0.0533,30,Yes
INV-10127,2025-02,CAT-001,SUP-003,Engineering,Southeast,On contract,182441.8,24,7601.74,0.066,75,No
INV-10128,2025-02,CAT-001,SUP-004,Intermodal,Gulf,On contract,321765.25,51,6309.12,0.0471,60,No
INV-10129,2025-02,CAT-001,SUP-002,Transportation,Midwest,On contract,173334.94,108,1604.95,0.0761,45,Yes
INV-10130,2025-02,CAT-001,SUP-003,Transportation,Gulf,On contract,233107.28,63,3700.12,-0.0535,30,Yes
INV-10131,2025-02,CAT-001,SUP-001,Intermodal,Gulf,On contract,130855.69,32,4089.24,0.0386,60,Yes
INV-10132,2025-02,CAT-001,SUP-002,Mechanical,Midwest,Off contract,271695.37,45,6037.67,0.0712,60,Yes
INV-10133,2025-02,CAT-001,SUP-005,Information technology,Gulf,On contract,268008.98,84,3190.58,0.0748,30,Yes
INV-10134,2025-02,CAT-001,SUP-001,Facilities,Southeast,On contract,131531.63,35,3758.05,0.0887,60,Yes
INV-10135,2025-02,CAT-001,SUP-001,Finance,Gulf,On contract,104180.41,150,694.54,0.0008,60,Yes
INV-10136,2025-02,CAT-001,SUP-001,Network operations,Midwest,Off contract,194368.96,43,4520.21,0.1429,60,Yes
INV-10137,2025-02,CAT-001,SUP-001,Mechanical,Midwest,On contract,47020.68,21,2239.08,0.0573,75,No
INV-10138,2025-02,CAT-001,SUP-004,Intermodal,Systemwide,Expired agreement,226918.47,30,7563.95,0.1139,45,Yes
INV-10139,2025-02,CAT-001,SUP-001,Facilities,Mid-Atlantic,Expired agreement,70314.44,78,901.47,0.1323,45,No
INV-10140,2025-02,CAT-001,SUP-002,Information technology,Southeast,On contract,44989.25,94,478.61,-0.0089,45,Yes
INV-10141,2025-02,CAT-001,SUP-003,Information technology,Mid-Atlantic,On contract,123885.02,52,2382.4,0.0936,60,Yes
INV-10142,2025-02,CAT-001,SUP-001,Information technology,Southeast,On contract,112910.96,119,948.83,0.047,75,Yes
INV-10143,2025-02,CAT-001,SUP-003,Intermodal,Systemwide,On contract,248651.65,18,13813.98,0.0215,75,Yes
INV-10144,2025-02,CAT-001,SUP-002,Intermodal,Southeast,On contract,133246.7,23,5793.33,0.0894,75,Yes
INV-10145,2025-02,CAT-001,SUP-003,Transportation,Southeast,On contract,357596.86,20,17879.84,0.0736,75,No
INV-10146,2025-02,CAT-001,SUP-001,Intermodal,Midwest,On contract,106138.61,15,7075.91,0.0265,60,Yes
INV-10147,2025-02,CAT-001,SUP-001,Network operations,Mid-Atlantic,On contract,55880.65,38,1470.54,0.0602,45,Yes
INV-10148,2025-02,CAT-001,SUP-002,Intermodal,Gulf,On contract,163290.83,39,4186.94,0.0981,60,Yes
INV-10149,2025-03,CAT-001,SUP-001,Information technology,Southeast,Off contract,213227.21,19,11222.48,0.1895,60,No
INV-10150,2025-03,CAT-001,SUP-002,Mechanical,Midwest,Off contract,686153.23,60,11435.89,0.1094,30,Yes
INV-10151,2025-03,CAT-001,SUP-002,Intermodal,Mid-Atlantic,On contract,398145.91,35,11375.6,0.044,30,Yes
INV-10152,2025-03,CAT-001,SUP-003,Intermodal,Gulf,On contract,613593.88,58,10579.2,0.0592,75,Yes
INV-10153,2025-03,CAT-001,SUP-002,Mechanical,Systemwide,Off contract,303264.13,48,6318.0,0.1528,60,Yes
INV-10154,2025-03,CAT-001,SUP-001,Engineering,Midwest,On contract,202089.25,44,4592.94,0.0792,45,Yes
INV-10155,2025-03,CAT-001,SUP-001,Network operations,Systemwide,Expired agreement,285901.6,63,4538.12,0.1763,30,Yes
INV-10156,2025-03,CAT-001,SUP-002,Engineering,Southeast,Off contract,1150513.57,26,44250.52,0.1543,30,Yes
INV-10157,2025-03,CAT-001,SUP-004,Mechanical,Midwest,Catalog mismatch,351049.31,63,5572.21,0.1369,75,No
INV-10158,2025-03,CAT-001,SUP-001,Information technology,Systemwide,On contract,204864.36,116,1766.07,0.0482,75,No
INV-10159,2025-03,CAT-001,SUP-004,Transportation,Gulf,On contract,474119.59,90,5268.0,0.0827,30,Yes
INV-10160,2025-03,CAT-001,SUP-002,Engineering,Midwest,Off contract,139544.8,9,15504.98,0.1382,30,Yes
INV-10161,2025-03,CAT-001,SUP-001,Intermodal,Gulf,On contract,216687.4,60,3611.46,0.0452,45,Yes
INV-10162,2025-03,CAT-001,SUP-001,Mechanical,Gulf,Off contract,547430.81,93,5886.35,0.1279,45,No
INV-10163,2025-03,CAT-001,SUP-001,Mechanical,Southeast,On contract,591960.45,51,11607.07,0.0379,45,Yes
INV-10164,2025-03,CAT-001,SUP-003,Facilities,Southeast,Catalog mismatch,340906.72,49,6957.28,0.1236,60,No
INV-10165,2025-03,CAT-001,SUP-003,Information technology,Midwest,On contract,253719.1,33,7688.46,0.0246,30,Yes
INV-10166,2025-03,CAT-001,SUP-004,Information technology,Mid-Atlantic,On contract,309937.9,50,6198.76,0.021,45,Yes
INV-10167,2025-03,CAT-001,SUP-003,Mechanical,Mid-Atlantic,On contract,287718.93,21,13700.9,0.0188,30,Yes
INV-10168,2025-03,CAT-001,SUP-001,Network operations,Systemwide,Off contract,366246.01,52,7043.19,0.1459,30,Yes
INV-10169,2025-03,CAT-001,SUP-002,Mechanical,Systemwide,On contract,325117.03,44,7389.02,0.2025,75,Yes
INV-10170,2025-03,CAT-001,SUP-003,Intermodal,Mid-Atlantic,Catalog mismatch,370179.54,34,10887.63,0.1083,75,Yes
INV-10171,2025-03,CAT-001,SUP-004,Network operations,Gulf,On contract,269257.69,22,12238.99,0.11,30,Yes
INV-10172,2025-03,CAT-001,SUP-003,Mechanical,Systemwide,On contract,388144.7,30,12938.16,0.0406,45,No
INV-10173,2025-03,CAT-001,SUP-003,Information technology,Gulf,On contract,543615.48,161,3376.49,0.0717,60,No
INV-10174,2025-03,CAT-001,SUP-003,Facilities,Systemwide,On contract,324447.6,101,3212.35,0.0851,60,No
INV-10175,2025-03,CAT-001,SUP-001,Engineering,Midwest,On contract,562687.49,97,5800.9,0.0722,75,Yes
INV-10176,2025-03,CAT-001,SUP-002,Intermodal,Systemwide,On contract,188460.81,50,3769.22,0.0785,45,No
INV-10177,2025-03,CAT-001,SUP-004,Finance,Systemwide,On contract,1080404.49,37,29200.12,0.1413,75,Yes
INV-10178,2025-03,CAT-001,SUP-001,Transportation,Systemwide,On contract,445970.01,55,8108.55,0.1262,30,Yes
INV-10179,2025-03,CAT-001,SUP-005,Network operations,Southeast,Off contract,618658.3,33,18747.22,0.0998,30,Yes
INV-10180,2025-03,CAT-001,SUP-004,Facilities,Mid-Atlantic,On contract,227561.77,119,1912.28,0.0633,30,No
INV-10181,2025-03,CAT-001,SUP-002,Information technology,Southeast,On contract,196380.28,48,4091.26,0.0626,45,Yes
INV-10182,2025-03,CAT-001,SUP-001,Mechanical,Mid-Atlantic,On contract,228562.29,34,6722.42,0.0508,30,Yes
INV-10183,2025-03,CAT-001,SUP-003,Transportation,Gulf,Off contract,406277.17,71,5722.21,0.1838,75,No
INV-10184,2025-03,CAT-001,SUP-002,Finance,Southeast,On contract,99662.06,208,479.14,-0.0112,60,Yes
INV-10185,2025-03,CAT-001,SUP-001,Network operations,Southeast,On contract,225894.45,15,15059.63,0.0785,60,Yes
INV-10186,2025-03,CAT-001,SUP-002,Network operations,Systemwide,On contract,340756.36,13,26212.03,0.0262,75,Yes
INV-10187,2025-03,CAT-001,SUP-002,Facilities,Mid-Atlantic,Expired agreement,127244.09,9,14138.23,0.0796,75,Yes
INV-10188,2025-03,CAT-001,SUP-002,Facilities,Southeast,On contract,281375.98,47,5986.72,0.0633,30,Yes
INV-10189,2025-03,CAT-001,SUP-003,Transportation,Mid-Atlantic,On contract,353391.18,109,3242.12,-0.0236,75,Yes
INV-10190,2025-03,CAT-001,SUP-002,Engineering,Gulf,Expired agreement,759017.12,47,16149.3,0.219,30,Yes
INV-10191,2025-03,CAT-001,SUP-002,Mechanical,Midwest,On contract,149601.66,19,7873.77,0.094,30,Yes
INV-10192,2025-03,CAT-001,SUP-004,Finance,Southeast,On contract,153157.36,26,5890.67,0.144,45,Yes
INV-10193,2025-03,CAT-001,SUP-003,Transportation,Midwest,On contract,413537.92,47,8798.68,0.0565,75,No
INV-10194,2025-03,CAT-001,SUP-003,Transportation,Southeast,On contract,905040.71,176,5142.28,0.0708,45,Yes
INV-10195,2025-03,CAT-001,SUP-001,Facilities,Gulf,Catalog mismatch,283226.54,53,5343.9,0.1736,75,Yes
INV-10196,2025-03,CAT-001,SUP-004,Intermodal,Midwest,On contract,222230.01,54,4115.37,0.132,75,Yes
INV-10197,2025-03,CAT-001,SUP-001,Facilities,Mid-Atlantic,On contract,496719.63,30,16557.32,0.046,30,Yes
INV-10198,2025-03,CAT-001,SUP-003,Network operations,Systemwide,On contract,338936.41,17,19937.44,0.0111,45,Yes
INV-10199,2025-03,CAT-001,SUP-003,Network operations,Gulf,On contract,238647.53,83,2875.27,0.0826,75,Yes
INV-10200,2025-03,CAT-001,SUP-001,Network operations,Systemwide,On contract,51131.67,39,1311.07,0.0654,45,Yes
INV-10201,2025-03,CAT-001,SUP-001,Mechanical,Systemwide,On contract,539926.09,36,14997.95,0.0598,30,No
INV-10202,2025-03,CAT-001,SUP-003,Finance,Southeast,On contract,364979.39,14,26069.96,0.0787,45,No
INV-10203,2025-03,CAT-001,SUP-001,Engineering,Systemwide,On contract,378503.11,38,9960.61,0.032,45,Yes
INV-10204,2025-03,CAT-001,SUP-002,Facilities,Gulf,Catalog mismatch,289636.24,116,2496.86,0.0982,60,No
INV-10205,2025-03,CAT-001,SUP-002,Finance,Systemwide,On contract,252713.72,72,3509.91,0.0151,30,Yes
INV-10206,2025-03,CAT-001,SUP-001,Mechanical,Mid-Atlantic,On contract,350000.65,50,7000.01,0.0822,60,Yes
INV-10207,2025-03,CAT-001,SUP-001,Transportation,Midwest,On contract,115547.02,33,3501.42,0.0482,60,No
INV-10208,2025-04,CAT-001,SUP-001,Facilities,Gulf,On contract,199356.17,35,5695.89,0.0739,30,Yes
INV-10209,2025-04,CAT-001,SUP-003,Network operations,Gulf,On contract,213342.9,56,3809.69,0.0899,45,Yes
INV-10210,2025-04,CAT-001,SUP-002,Information technology,Midwest,On contract,49056.43,16,3066.03,0.11,30,Yes
INV-10211,2025-04,CAT-001,SUP-002,Finance,Mid-Atlantic,Catalog mismatch,200317.7,34,5891.7,0.1357,30,Yes
INV-10212,2025-04,CAT-001,SUP-002,Mechanical,Southeast,On contract,118683.0,92,1290.03,0.0443,75,Yes
INV-10213,2025-04,CAT-001,SUP-001,Information technology,Midwest,On contract,246673.51,121,2038.62,0.0769,45,Yes
INV-10214,2025-04,CAT-001,SUP-005,Network operations,Systemwide,On contract,246973.04,12,20581.09,0.051,30,No
INV-10215,2025-04,CAT-001,SUP-003,Network operations,Mid-Atlantic,On contract,71098.64,91,781.3,0.06,45,Yes
INV-10216,2025-04,CAT-001,SUP-004,Network operations,Midwest,On contract,191340.72,14,13667.19,0.0745,60,Yes
INV-10217,2025-04,CAT-001,SUP-001,Network operations,Southeast,On contract,69335.28,21,3301.68,0.0515,75,Yes
INV-10218,2025-04,CAT-001,SUP-003,Intermodal,Mid-Atlantic,On contract,318380.14,35,9096.58,0.1142,75,Yes
INV-10219,2025-04,CAT-001,SUP-002,Information technology,Southeast,Off contract,161967.47,24,6748.64,0.0804,60,No
INV-10220,2025-04,CAT-001,SUP-002,Information technology,Midwest,On contract,179401.77,28,6407.21,0.0261,45,Yes
INV-10221,2025-04,CAT-001,SUP-003,Facilities,Midwest,On contract,164408.89,50,3288.18,0.0285,30,No
INV-10222,2025-04,CAT-001,SUP-002,Information technology,Systemwide,On contract,127170.59,40,3179.26,0.0969,60,Yes
INV-10223,2025-04,CAT-001,SUP-002,Intermodal,Gulf,On contract,72388.12,43,1683.44,0.1465,60,Yes
INV-10224,2025-04,CAT-001,SUP-003,Network operations,Midwest,On contract,213247.46,39,5467.88,0.0491,45,Yes
INV-10225,2025-04,CAT-001,SUP-001,Transportation,Mid-Atlantic,On contract,395991.33,50,7919.83,0.073,75,Yes
INV-10226,2025-04,CAT-001,SUP-001,Mechanical,Systemwide,Off contract,586065.98,45,13023.69,0.1061,45,No
